sequence,images,gt,predictions,tp,fp,fn,precision,recall,f1
MVI_40761,5,40,10,10,0,30,1.000000,0.250000,0.400000
MVI_40863,5,48,19,13,6,35,0.684211,0.270833,0.388060
MVI_40864,5,121,52,36,16,85,0.692308,0.297521,0.416185
MVI_40892,5,73,33,24,9,49,0.727273,0.328767,0.452830
MVI_40855,5,127,50,45,5,82,0.900000,0.354331,0.508475
MVI_40763,5,23,13,9,4,14,0.692308,0.391304,0.500000
MVI_40904,5,36,46,15,31,21,0.326087,0.416667,0.365854
MVI_40762,5,36,17,15,2,21,0.882353,0.416667,0.566038
MVI_40903,5,80,45,34,11,46,0.755556,0.425000,0.544000
MVI_39311,5,56,36,26,10,30,0.722222,0.464286,0.565217
MVI_40851,5,62,37,30,7,32,0.810811,0.483871,0.606061
MVI_39501,5,37,39,18,21,19,0.461538,0.486486,0.473684
MVI_40891,5,76,50,39,11,37,0.780000,0.513158,0.619048
MVI_40792,5,29,17,15,2,14,0.882353,0.517241,0.652174
MVI_40742,5,43,24,23,1,20,0.958333,0.534884,0.686567
MVI_40701,5,54,50,31,19,23,0.620000,0.574074,0.596154
MVI_40714,5,109,67,63,4,46,0.940299,0.577982,0.715909
MVI_40852,5,77,59,47,12,30,0.796610,0.610390,0.691176
MVI_40854,5,63,53,41,12,22,0.773585,0.650794,0.706897
MVI_40902,5,35,46,24,22,11,0.521739,0.685714,0.592593
MVI_39511,5,16,30,11,19,5,0.366667,0.687500,0.478261
MVI_40853,5,68,59,49,10,19,0.830508,0.720588,0.771654
MVI_40905,5,43,46,31,15,12,0.673913,0.720930,0.696629
MVI_40793,5,37,29,27,2,10,0.931034,0.729730,0.818182
MVI_39371,5,12,20,9,11,3,0.450000,0.750000,0.562500
MVI_39271,5,18,25,14,11,4,0.560000,0.777778,0.651163
MVI_40901,5,43,49,34,15,9,0.693878,0.790698,0.739130
MVI_40773,5,35,43,28,15,7,0.651163,0.800000,0.717949
MVI_39401,5,38,42,32,10,6,0.761905,0.842105,0.800000
MVI_39361,5,20,45,17,28,3,0.377778,0.850000,0.523077
MVI_40775,5,47,52,40,12,7,0.769231,0.851064,0.808081
MVI_40743,5,31,33,27,6,4,0.818182,0.870968,0.843750
MVI_40772,5,49,48,43,5,6,0.895833,0.877551,0.886598
MVI_40771,5,22,38,20,18,2,0.526316,0.909091,0.666667
MVI_40712,5,43,50,40,10,3,0.800000,0.930233,0.860215
MVI_40711,5,29,52,27,25,2,0.519231,0.931034,0.666667
MVI_40774,5,26,37,25,12,1,0.675676,0.961538,0.793651
MVI_39031,5,26,29,25,4,1,0.862069,0.961538,0.909091
MVI_39211,5,9,19,9,10,0,0.473684,1.000000,0.642857
MVI_39051,5,7,12,7,5,0,0.583333,1.000000,0.736842
