               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               5.355,              4.6324,              5.4404,           0.0075614,             0.22222,            0.058268,            0.014291,                   0,                   0,                   0,              0.0901,              0.0011,              0.0011
                   1,              5.3876,              5.0458,              5.2692,           0.0075047,             0.22222,            0.067729,            0.027742,                   0,                   0,                   0,            0.079224,           0.0022241,           0.0022241
                   2,              5.3448,              4.7161,              5.4339,            0.007533,             0.22222,            0.067914,            0.021534,                   0,                   0,                   0,            0.068269,            0.003269,            0.003269
                   3,              5.0747,              4.6641,              5.5217,           0.0074906,             0.22222,            0.081035,            0.028638,                   0,                   0,                   0,            0.057235,           0.0042347,           0.0042347
                   4,              4.8179,              4.6669,               5.082,           0.0074627,             0.22222,             0.12046,            0.032711,                   0,                   0,                   0,            0.046121,           0.0051212,           0.0051212
                   5,              5.5846,              4.5476,              5.5258,           0.0074627,             0.22222,             0.12046,            0.032711,                   0,                   0,                   0,            0.034929,           0.0059285,           0.0059285
                   6,              5.1236,              4.5506,              5.5006,           0.0076482,             0.22222,             0.12057,            0.032765,                   0,                   0,                   0,            0.023657,           0.0066566,           0.0066566
                   7,              5.8094,              4.9517,              5.6367,           0.0076482,             0.22222,             0.12057,            0.032765,                   0,                   0,                   0,            0.012306,           0.0073055,           0.0073055
                   8,              5.5434,              4.7692,              5.4188,           0.0076482,             0.22222,             0.12057,            0.032765,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                   9,              5.1868,              4.6667,              5.4752,           0.0079051,             0.22222,            0.044688,            0.017255,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,              4.9321,              4.4137,              5.0302,           0.0079051,             0.22222,            0.044688,            0.017255,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              5.5657,               4.671,              5.4417,           0.0090253,             0.27778,            0.056381,            0.018594,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,              5.4383,              4.5807,              5.3758,           0.0090253,             0.27778,            0.056381,            0.018594,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              5.6616,              4.6869,              5.4831,           0.0090253,             0.27778,            0.056381,            0.018594,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,              5.2944,              4.6462,              5.4038,            0.068043,            0.055556,            0.015496,           0.0086335,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,              5.1374,              4.5698,              5.4237,            0.068043,            0.055556,            0.015496,           0.0086335,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              5.5952,              4.5581,              5.3184,            0.068043,            0.055556,            0.015496,           0.0086335,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,              4.7283,              4.6943,              5.1225,            0.047799,            0.055556,            0.007475,           0.0016509,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,              5.1083,              4.4534,              5.3937,            0.047799,            0.055556,            0.007475,           0.0016509,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,              5.5236,              4.5796,               5.393,            0.024055,            0.055556,            0.006897,           0.0021531,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,              5.5016,              4.6717,              5.4398,            0.024055,            0.055556,            0.006897,           0.0021531,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,              5.3977,              4.6763,              5.5599,            0.024055,            0.055556,            0.006897,           0.0021531,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,              5.4197,              4.6394,              5.5451,            0.019501,             0.16667,            0.009147,           0.0025076,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,               5.671,              4.5544,              5.5394,            0.019501,             0.16667,            0.009147,           0.0025076,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,              4.8856,              4.4879,               5.437,            0.019501,             0.16667,            0.009147,           0.0025076,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,              5.3615,              4.6105,              5.4542,            0.027609,             0.11111,           0.0093384,           0.0023832,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              5.3961,              4.6327,              5.5263,            0.027609,             0.11111,           0.0093384,           0.0023832,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,              5.5602,              4.6043,              5.4204,           0.0061958,             0.27778,           0.0073352,           0.0023887,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,              5.4425,              4.5979,              5.4355,           0.0061958,             0.27778,           0.0073352,           0.0023887,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,              4.8401,              4.4738,              5.4438,           0.0061958,             0.27778,           0.0073352,           0.0023887,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
